c Exact - branch main commit 8dac976
c Reading input file, expected format is wbo
c #vars 2061 #constraints 1867
c PRESOLVE
c     bounds 1855423 >= 0 @ 0.379678, 597
c     bounds 1048255 >= 0 @ 0.387243, 601
c     bounds 1046680 >= 0 @ 0.389588, 602
c     bounds 1046656 >= 0 @ 0.392041, 602
c     bounds 1046655 >= 0 @ 0.393675, 602
c     bounds 1037819 >= 0 @ 0.395315, 602
c     bounds 1036996 >= 0 @ 0.403349, 615
c     bounds 1036995 >= 0 @ 0.405376, 615
c     bounds 1036994 >= 0 @ 0.406981, 615
c     bounds 1036993 >= 0 @ 0.408618, 615
c     bounds 1036992 >= 0 @ 0.410253, 615
c     bounds 1036991 >= 0 @ 0.411869, 615
c     bounds 1036975 >= 0 @ 0.413787, 615
c     bounds 1036967 >= 0 @ 0.415794, 615
c     bounds 1036966 >= 0 @ 0.417456, 615
c     bounds 1036959 >= 0 @ 0.419405, 615
c     bounds 1036951 >= 0 @ 0.421242, 615
c     bounds 1036950 >= 0 @ 0.423073, 615
c     bounds 1036949 >= 0 @ 0.424681, 615
c     bounds 1036948 >= 0 @ 0.426379, 615
c     bounds 1036947 >= 0 @ 0.428043, 615
c     bounds 1036946 >= 0 @ 0.429664, 615
c     bounds 1036945 >= 0 @ 0.431299, 615
c     bounds 1036944 >= 0 @ 0.432909, 615
c     bounds 1036940 >= 0 @ 0.434775, 615
c     bounds 1036939 >= 0 @ 0.436499, 615
c     bounds 1036935 >= 0 @ 0.438305, 615
c     bounds 1036931 >= 0 @ 0.440016, 615
c     bounds 1036812 >= 0 @ 0.442056, 615
c     bounds 1036788 >= 0 @ 0.443982, 615
c     bounds 1036787 >= 0 @ 0.445564, 615
c     bounds 1027951 >= 0 @ 0.447845, 615
c     bounds 1023595 >= 0 @ 0.449772, 615
c     bounds 1023570 >= 0 @ 0.452068, 615
c     bounds 1023506 >= 0 @ 0.45413, 615
c     bounds 1023497 >= 0 @ 0.456258, 615
c     bounds 1023493 >= 0 @ 0.458128, 615
c     bounds 1023489 >= 0 @ 0.459944, 615
c     bounds 1023488 >= 0 @ 0.461711, 615
c     bounds 1023484 >= 0 @ 0.463575, 615
c     bounds 1023483 >= 0 @ 0.465318, 615
c     bounds 1023482 >= 0 @ 0.467107, 615
c     bounds 1023481 >= 0 @ 0.468832, 615
c     bounds 1023480 >= 0 @ 0.470473, 615
c     bounds 1023479 >= 0 @ 0.472104, 615
c     bounds 1023478 >= 0 @ 0.473779, 615
c     bounds 1023477 >= 0 @ 0.475479, 615
c     bounds 1010021 >= 0 @ 0.477852, 615
