c Exact - branch main commit 8dac976
c Reading input file, expected format is wbo
c #vars 2077 #constraints 1875
c PRESOLVE
c     bounds 37350 >= 0 @ 0.469491, 806
c 1000 confls 3698 constrs 2076 vars
c     bounds 10152 >= 0 @ 3.27734, 1348
c     bounds 10145 >= 0 @ 3.55466, 1469
c     bounds 10124 >= 0 @ 3.61241, 1483
c     bounds 10065 >= 0 @ 3.62703, 1488
c     bounds 10023 >= 0 @ 3.66153, 1542
c     bounds 10010 >= 0 @ 3.67314, 1559
c     bounds 10006 >= 0 @ 3.72182, 1574
c     bounds 10003 >= 0 @ 3.72473, 1575
c     bounds 9954 >= 0 @ 3.73726, 1579
c     bounds 9890 >= 0 @ 3.74418, 1590
c     bounds 9883 >= 0 @ 3.76211, 1598
c     bounds 9870 >= 0 @ 3.76917, 1600
c     bounds 9865 >= 0 @ 3.77184, 1601
c     bounds 9851 >= 0 @ 3.77414, 1601
c     bounds 9850 >= 0 @ 3.82462, 1616
c     bounds 9849 >= 0 @ 3.83234, 1641
c     bounds 9839 >= 0 @ 3.84, 1642
c     bounds 9838 >= 0 @ 3.8419, 1642
c     bounds 9827 >= 0 @ 3.85014, 1644
c     bounds 9803 >= 0 @ 3.89758, 1661
c     bounds 9795 >= 0 @ 3.89985, 1661
c     bounds 9793 >= 0 @ 3.94295, 1675
c     bounds 9771 >= 0 @ 3.94535, 1675
c     bounds 9764 >= 0 @ 3.95261, 1677
c     bounds 9734 >= 0 @ 3.96003, 1684
c     bounds 9729 >= 0 @ 3.96523, 1699
c     bounds 9716 >= 0 @ 3.96875, 1700
c     bounds 9688 >= 0 @ 3.97109, 1700
c     bounds 9678 >= 0 @ 3.97586, 1701
c     bounds 9665 >= 0 @ 3.97779, 1701
c     bounds 9638 >= 0 @ 4.04546, 1739
c     bounds 9618 >= 0 @ 4.20972, 1800
c     bounds 9583 >= 0 @ 4.23262, 1810
c     bounds 9580 >= 0 @ 4.2481, 1857
c     bounds 9554 >= 0 @ 4.25771, 1863
c     bounds 9548 >= 0 @ 4.26213, 1866
c     bounds 9547 >= 0 @ 4.26963, 1868
c     bounds 9545 >= 0 @ 4.27607, 1874
c     bounds 9537 >= 0 @ 4.28765, 1879
c     bounds 9535 >= 0 @ 4.29865, 1882
c     bounds 9451 >= 0 @ 4.31083, 1892
c     bounds 9417 >= 0 @ 4.32896, 1906
c     bounds 9414 >= 0 @ 4.33545, 1908
c     bounds 9407 >= 0 @ 4.33966, 1909
c     bounds 9398 >= 0 @ 4.35692, 1912
c     bounds 9371 >= 0 @ 4.38689, 1930
c     bounds 9346 >= 0 @ 4.39181, 1932
c     bounds 9343 >= 0 @ 4.39582, 1937
c     bounds 9334 >= 0 @ 4.46511, 1965
c     bounds 9296 >= 0 @ 4.47649, 1969
c     bounds 9288 >= 0 @ 4.48073, 1972
c     bounds 9277 >= 0 @ 4.4854, 1975
c     bounds 9272 >= 0 @ 4.5014, 1979
c 2000 confls 4804 constrs 2076 vars
c INPROCESSING 0.00249596 proptime 679097 prop/sec 1.70193 prop/ca
c     bounds 9265 >= 0 @ 4.57158, 2031
c     bounds 9252 >= 0 @ 4.57932, 2041
c     bounds 9250 >= 0 @ 4.58438, 2042
c     bounds 9210 >= 0 @ 4.66932, 2250
c     bounds 9209 >= 0 @ 4.80128, 2320
c     bounds 9192 >= 0 @ 5.31, 2535
c     bounds 9163 >= 0 @ 5.34479, 2648
c     bounds 9158 >= 0 @ 5.35565, 2653
c     bounds 9157 >= 0 @ 5.51285, 2703
c     bounds 9140 >= 0 @ 5.52184, 2740
c     bounds 9118 >= 0 @ 5.63301, 2768
c 3000 confls 5711 constrs 2076 vars
c     bounds 9108 >= 0 @ 6.38843, 3069
c     bounds 9080 >= 0 @ 6.46306, 3106
c     bounds 9026 >= 0 @ 6.47931, 3157
c     bounds 9023 >= 0 @ 6.49072, 3160
c     bounds 9004 >= 0 @ 6.50289, 3186
c     bounds 8973 >= 0 @ 6.51455, 3194
c     bounds 8947 >= 0 @ 6.52701, 3206
c     bounds 8934 >= 0 @ 6.52966, 3206
c     bounds 8894 >= 0 @ 6.53185, 3206
c     bounds 8888 >= 0 @ 6.56699, 3217
c     bounds 8860 >= 0 @ 6.57069, 3224
c     bounds 8859 >= 0 @ 6.58002, 3234
c     bounds 8858 >= 0 @ 6.59448, 3252
