c Exact - branch main commit 8dac976
c Reading input file, expected format is wbo
c #vars 2061 #constraints 1867
c PRESOLVE
c     bounds 18297 >= 0 @ 0.379846, 597
c     bounds 8210 >= 0 @ 0.385373, 599
c     bounds 8209 >= 0 @ 0.391448, 604
c     bounds 8143 >= 0 @ 0.393091, 604
c     bounds 8138 >= 0 @ 0.394875, 605
c     bounds 8105 >= 0 @ 0.406805, 619
c     bounds 8102 >= 0 @ 0.408996, 619
c     bounds 8100 >= 0 @ 0.410909, 619
c     bounds 8099 >= 0 @ 0.412761, 619
c     bounds 8098 >= 0 @ 0.414468, 619
c     bounds 8097 >= 0 @ 0.416216, 619
c     bounds 8096 >= 0 @ 0.417973, 619
c     bounds 8095 >= 0 @ 0.419704, 619
c     bounds 8094 >= 0 @ 0.421308, 619
c     bounds 8093 >= 0 @ 0.422949, 619
c     bounds 8092 >= 0 @ 0.425022, 619
c     bounds 8090 >= 0 @ 0.426872, 619
c     bounds 8089 >= 0 @ 0.428549, 619
c     bounds 8087 >= 0 @ 0.430419, 619
c     bounds 8086 >= 0 @ 0.432114, 619
c     bounds 8082 >= 0 @ 0.434105, 619
c     bounds 8081 >= 0 @ 0.436028, 619
c     bounds 8080 >= 0 @ 0.437757, 619
c     bounds 8079 >= 0 @ 0.439447, 619
c     bounds 8078 >= 0 @ 0.441133, 619
c     bounds 8077 >= 0 @ 0.442769, 619
c     bounds 8076 >= 0 @ 0.444374, 619
c     bounds 8074 >= 0 @ 0.446299, 619
c     bounds 8072 >= 0 @ 0.448095, 619
c     bounds 8060 >= 0 @ 0.450224, 619
c     bounds 8028 >= 0 @ 0.452271, 619
c     bounds 8024 >= 0 @ 0.454359, 619
c     bounds 8023 >= 0 @ 0.455927, 619
c     bounds 7957 >= 0 @ 0.458227, 619
c     bounds 7952 >= 0 @ 0.460519, 619
c     bounds 7944 >= 0 @ 0.462599, 619
c     bounds 7941 >= 0 @ 0.464723, 619
c     bounds 7939 >= 0 @ 0.466665, 619
c     bounds 7937 >= 0 @ 0.468527, 619
c     bounds 7936 >= 0 @ 0.470296, 619
c     bounds 7934 >= 0 @ 0.472203, 619
c     bounds 7933 >= 0 @ 0.47402, 619
c     bounds 7932 >= 0 @ 0.475727, 619
c     bounds 7931 >= 0 @ 0.477403, 619
c     bounds 7930 >= 0 @ 0.479085, 619
c     bounds 7929 >= 0 @ 0.480815, 619
c     bounds 7928 >= 0 @ 0.482568, 619
c     bounds 7922 >= 0 @ 0.484787, 619
c     bounds 7916 >= 0 @ 0.486644, 619
c     bounds 7914 >= 0 @ 0.488794, 619
