c Exact - branch main commit 8dac976
c Reading input file, expected format is wbo
c #vars 2077 #constraints 1875
c PRESOLVE
c     bounds 27152 >= 0 @ 0.235245, 595
c     bounds 9750 >= 0 @ 0.240247, 595
c     bounds 9707 >= 0 @ 0.260731, 617
c     bounds 9647 >= 0 @ 0.262571, 617
c     bounds 9593 >= 0 @ 0.264737, 617
c     bounds 9588 >= 0 @ 0.274234, 618
c     bounds 9575 >= 0 @ 0.296559, 625
c 1000 confls 3710 constrs 2076 vars
c     bounds 9550 >= 0 @ 0.514985, 1036
c     bounds 9539 >= 0 @ 0.518481, 1037
c     bounds 9496 >= 0 @ 0.536692, 1041
c     bounds 9489 >= 0 @ 0.538941, 1041
c     bounds 9447 >= 0 @ 0.541197, 1041
c     bounds 9440 >= 0 @ 0.558656, 1046
c     bounds 9413 >= 0 @ 0.560989, 1046
c     bounds 9407 >= 0 @ 0.565937, 1047
c     bounds 9382 >= 0 @ 0.568458, 1048
c     bounds 9332 >= 0 @ 0.574053, 1049
c     bounds 9328 >= 0 @ 0.620591, 1063
c     bounds 9259 >= 0 @ 0.632857, 1077
c     bounds 9247 >= 0 @ 0.637621, 1079
c     bounds 9231 >= 0 @ 0.639899, 1079
c     bounds 9230 >= 0 @ 0.641885, 1079
c     bounds 9216 >= 0 @ 0.643892, 1079
c     bounds 9212 >= 0 @ 0.646105, 1079
c     bounds 9200 >= 0 @ 0.648138, 1079
c     bounds 9192 >= 0 @ 0.654148, 1080
c     bounds 9190 >= 0 @ 0.656287, 1080
c     bounds 9186 >= 0 @ 0.658209, 1080
c     bounds 9185 >= 0 @ 0.660093, 1080
c     bounds 9182 >= 0 @ 0.674203, 1083
c     bounds 9169 >= 0 @ 0.728903, 1115
c     bounds 9166 >= 0 @ 0.736597, 1121
c     bounds 9152 >= 0 @ 0.792142, 1141
c     bounds 9142 >= 0 @ 0.794773, 1141
c     bounds 9132 >= 0 @ 0.801937, 1143
c     bounds 9108 >= 0 @ 0.805201, 1144
c     bounds 9085 >= 0 @ 0.810451, 1147
c     bounds 9071 >= 0 @ 0.820344, 1151
c     bounds 9042 >= 0 @ 0.822891, 1151
c     bounds 9020 >= 0 @ 0.824746, 1151
c     bounds 9017 >= 0 @ 0.827957, 1161
c     bounds 9007 >= 0 @ 0.8424, 1169
c     bounds 8986 >= 0 @ 0.84486, 1169
c     bounds 8982 >= 0 @ 0.874509, 1178
c     bounds 8974 >= 0 @ 0.878659, 1180
c     bounds 8973 >= 0 @ 1.48524, 1615
c     bounds 8965 >= 0 @ 1.5102, 1628
c     bounds 8956 >= 0 @ 1.51648, 1639
c     bounds 8955 >= 0 @ 1.52669, 1645
c     bounds 8954 >= 0 @ 1.52897, 1645
c     bounds 8953 >= 0 @ 1.53303, 1646
c     bounds 8949 >= 0 @ 1.54762, 1657
c     bounds 8917 >= 0 @ 1.55056, 1660
c     bounds 8900 >= 0 @ 1.57353, 1673
c     bounds 8879 >= 0 @ 1.57578, 1674
c     bounds 8878 >= 0 @ 1.5844, 1683
c     bounds 8856 >= 0 @ 1.66558, 1767
c     bounds 8847 >= 0 @ 1.69401, 1806
c     bounds 8816 >= 0 @ 1.69846, 1808
c     bounds 8762 >= 0 @ 1.70071, 1808
c     bounds 8756 >= 0 @ 1.77911, 1826
c     bounds 8753 >= 0 @ 1.78652, 1828
c     bounds 8752 >= 0 @ 1.80446, 1838
c     bounds 8748 >= 0 @ 1.80797, 1839
c     bounds 8740 >= 0 @ 1.812, 1840
c     bounds 8726 >= 0 @ 1.82114, 1842
c     bounds 8722 >= 0 @ 1.85062, 1865
c     bounds 8668 >= 0 @ 1.853, 1865
c     bounds 8638 >= 0 @ 1.85499, 1865
c     bounds 8614 >= 0 @ 1.85724, 1865
c     bounds 8608 >= 0 @ 1.87234, 1870
c     bounds 8606 >= 0 @ 1.93336, 1918
c     bounds 8605 >= 0 @ 1.93651, 1921
c     bounds 8553 >= 0 @ 1.94815, 1923
c     bounds 8545 >= 0 @ 1.95029, 1923
c     bounds 8539 >= 0 @ 1.95821, 1924
c     bounds 8535 >= 0 @ 1.96024, 1924
c     bounds 8534 >= 0 @ 1.96221, 1924
c     bounds 8533 >= 0 @ 2.00826, 1940
c     bounds 8525 >= 0 @ 2.03578, 1960
c     bounds 8516 >= 0 @ 2.03939, 1961
c     bounds 8509 >= 0 @ 2.04162, 1961
